,business_id,name,categories
0,0x80dd2b4c8555edb7:0xfc33d65c4bdbef42,Vons Chicken,['Restaurant']
1,0x80dd36785b24f9b3:0x254a971ae487cd7,Amelia's Bar,"['Night club', 'Bar']"
2,0x80c2ba5b61bb2415:0x217207f872e3db5e,El Zacatecas Sports Bar,"['Sports bar', 'Bar']"
3,0x80c2baf50d29bf63:0x5bd904b842b9fcc,La Potranca,['Restaurant']
4,0x54d15b5c2681df95:0xa611357b2e497e58,Beau Pre Cafe,"['Cafe', 'Breakfast restaurant', 'Hamburger restaurant', 'Lunch restaurant']"
5,0x80c2c7a94ac69057:0x8d810f2561e0a3cd,The Plant Power Truck,['Restaurant']
6,0x8090cbf5bbba898b:0xb37d7e1fea0c63ef,Three Bears Country Diner,['Restaurant']
7,0x8085875ce042646d:0xd289103cd80a0a97,Hotei Restaurant,['Restaurant']
8,0x808f7fd770b93dfd:0x9163bc5a8883c63b,Mijita,"['Mexican restaurant', 'Restaurant']"
9,0x809b053254d9dfab:0xb1b11e804211e0ea,Restaurant Josephine,['Restaurant']
10,0x808e4aaee95d631b:0xc9d0839a2aefcb64,Sushi 2-2 Train,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Southeast Asian restaurant']"
11,0x80904101ce001281:0x76db23c5d22346ae,McDonald's,"['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
12,0x80c2c7049ff0132d:0xf598d3badb3f6dc,Tacos El Comelon (Food Truck),['Restaurant']
13,0x809ae410bb4b79db:0x8e53e91c4a62cfcd,China House,['Restaurant']
14,0x80e84e90e72e4b39:0x606f85aade439c98,Hide Away Bar,['Bar']
15,0x80c2d20b1642d757:0xdf3698e5172297cf,J C Tavern,['Bar']
16,0x808f7c1425bf6e9d:0xf5c6c8e213483c28,Miche's Filipino Cuisine,"['Filipino restaurant', 'Asian restaurant', 'Restaurant']"
17,0x80c298259dc3e43d:0x20349edf1ec7eb40,Bocca Steakhouse,"['Steak house', 'Bar', 'Kosher restaurant']"
18,0x808f7792bd0c683d:0xefefd9d96f8fcb11,La Matcha Cafe,"['Lunch restaurant', 'Bakery', 'Breakfast restaurant', 'Bubble tea store', 'Cafe', 'Caterer', 'Coffee shop', 'Cupcake shop', 'Deli', 'Restaurant', 'Sandwich shop']"
19,0x80c2d4c17351e5d5:0x25ec6df3990c5322,Taco Shack,"['Restaurant', 'Latin American restaurant', 'Mexican restaurant']"
20,0x808f80b286dc6f9b:0xb9c0ee0392825cd4,Subway,"['Sandwich shop', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
21,0x808fa2457dc2bb07:0x38710a040751b559,Chef Peking,"['Chinese restaurant', 'Restaurant']"
22,0x80ecf11263210e3b:0x6bb5b0e7180c138f,Brasserie SLO,"['Californian restaurant', 'Bar', 'Distillery']"
23,0x80dc01850e650129:0xe0d434f79aa9ff0,Amazona Acai Cafe,['Cafe']
24,0x809ae58e5b6f8889:0x997c522d3d5cf906,Kiki's Chicken Place,['Restaurant']
25,0x80c2bed4c0875335:0x88562e8d30e3d33d,Kawaba Rice Ball,"['Japanese restaurant', 'Deli', 'Fast food restaurant', 'Restaurant']"
26,0x80ea43a0a053bfc9:0xdc79e691949f9195,Brix Lounge,"['Night club', 'Bar']"
27,0x80db1ba712fc3cbb:0xed35f45d681765db,Burger King,"['Fast food restaurant', 'American restaurant', 'Breakfast restaurant', 'Hamburger restaurant', 'Restaurant']"
28,0x808f79cf345c67c3:0xdc6b969e70deb2bf,Luigi's Sandwich Palace,"['Sandwich shop', 'Bar & grill', 'Deli', 'Takeout Restaurant', 'Restaurant']"
29,0x80c2a3f2d19a95b9:0xbe7400caa486be55,Gladstones Pacific Palisades fillbox,['Restaurant']
30,0x80c2c715e2f0130f:0xa9a0b679f80d8e54,Isaan Classic,['Restaurant']
31,0x80852990182f7d55:0xe7374fc8442789f1,Carl's Jr.,"['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']"
32,0x80db1bc2516bad15:0xd434ab55a2dc42e7,AsiaSF Palm Springs,['Restaurant']
33,0x80c2ce5ad7ea5515:0x155d92fbf5bf2cc7,MJ CAFE,"['Cafeteria', 'Deli', 'Mexican restaurant', 'Restaurant']"
34,0x80c10d7500ca2219:0x47485f40a87f5611,Acres Bar,['Bar']
35,0x80c28758c9f2739f:0xe44f4ef91661c984,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
36,0x808f9f16784e6f09:0x8d47c5981115ff6b,Starbucks,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']"
37,0x8084d0e5f234f735:0x782262f8c6962382,Carlton Club,['Bar']
38,0x80c2c0ae97a1989d:0x5d5a1128109282c7,Casual Public,"['Restaurant', 'Bar & grill']"
39,0x80dcafb14e219d6b:0xc6a83e0b565ed0b1,Alaska Crab,['Restaurant']
