,business_id,name,categories
0,0x88e5b53b107a2609:0x40106d3b48960d9d,"Daily Dose Craft Bar, Inc.","['Coffee shop', 'Bubble tea store', 'Cafe']"
1,0x8894b5a7a7909725:0xe4687299fd288188,Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida,"['Modern French restaurant', 'Restaurant']"
2,0x88d9ba5d65937567:0xbc27649cf513cc89,Bachata Rosa,['Restaurant']
3,0x88d900575f0dd065:0x9b3638d2a80be4d,Zampini's Bottega,['Restaurant']
4,0x88d9b719170a9f61:0x30d454a980f76ad3,Choices Cafe,['Restaurant']
5,0x88c2f9a7401967a9:0x85457fe2251f0bce,"Miami Ave. Wine Bar, Music & The arts","['Bar', 'Gift shop', 'Wine store', 'Winery']"
6,0x88e76652cd84272f:0x548abb9935d912ff,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
7,0x88d9b395c6179c89:0x914b0aafb453b3b5,Biscayne Backyard Barbecue,['Restaurant']
8,0x88d91d9e5e488c4f:0x6049fa30d0806848,Chefness Bakery,"['Bakery', 'Cafe', 'Cafeteria', 'Cake shop', 'Cupcake shop', 'Kosher grocery store', 'Kosher restaurant', 'Pastry shop', 'Pizza restaurant', 'Wedding bakery']"
9,0x88d9b1f38dff4dff:0x61443de98cd9c88c,Crab Du Jour Cajun Seafood & Bar,"['Seafood restaurant', 'Bar', 'Cajun restaurant', 'Chicken wings restaurant']"
10,0x88c2c5c515fa6e53:0xee4f630ca314fe01,Flock and Stock,['Restaurant']
11,0x88dd8019b7c4167b:0x7043f86a8346dcf3,Sizzler,"['Restaurant', 'Seafood restaurant', 'Steak house']"
12,0x88e76d9181abf2a9:0x97194d850024543c,Pi Pizza,['Restaurant']
13,0x88db70f25d195ce9:0xdd082161db257728,Dick's Restaurant and Bar,"['Restaurant', 'Bar']"
14,0x88db3f7f99349cf7:0x33cb3b926001e9fb,Henry's cigar bar & lounge,['Bar']
15,0x88e44b7e69565ac5:0x3dfe920e1417a40c,Cajun Boil Express,"['Restaurant', 'Delivery Restaurant', 'Seafood restaurant']"
