,business_id,name,categories
0,0x80c8c10f727e3ae1:0x9085c8978a7b1813,El Yaqui Mexican Food & Desserts,['Restaurant']
1,0x80c8cf0fffffffff:0x4e446fa30178181b,TheBarsOfAmerica,"['Pub', 'Bar']"
2,0x80c8c1186114520b:0x181d6e75c4cd85ed,El chiringuito mexican snacks.,['Restaurant']
3,0x80c8e999c57b8a37:0xc2f84294a152ac91,Dutch Bros Coffee,"['Coffee shop', 'Cafe', 'Juice shop', 'Tea house']"
4,0x80c8c10f727e3ae1:0x9085c8978a7b1813,El Yaqui Mexican Food & Desserts,['Restaurant']
5,0x80c8cf0fffffffff:0x4e446fa30178181b,TheBarsOfAmerica,"['Pub', 'Bar']"
6,0x80c8c1186114520b:0x181d6e75c4cd85ed,El chiringuito mexican snacks.,['Restaurant']
7,0x80c8e999c57b8a37:0xc2f84294a152ac91,Dutch Bros Coffee,"['Coffee shop', 'Cafe', 'Juice shop', 'Tea house']"
8,0x80c8c13a7218e783:0x5d00abbb6190baa5,Cafe Mundo Cubano,"['Cafe', 'Cuban restaurant']"
9,0x80990bf3e3a91f79:0xc6d4854b36977fa0,Carson Piazza Bar,"['Restaurant', 'Bar', 'Small plates restaurant']"
10,0x80c8db302c15da39:0xaefa98832a6a0510,Cabo Mexican,"['Mexican restaurant', 'Fine dining restaurant', 'Latin American restaurant', 'Restaurant']"
11,0x80c8950d62d92e41:0xf062f88f7c1a7135,Eagle Crest,['Restaurant']
12,0x80c8c475b7d49067:0xf340af80063144c6,Pearl Ocean,"['Dim sum restaurant', 'Chinese restaurant', 'Restaurant']"
13,0x80c8c71677886425:0x2423915ae7e893aa,Hwaro 2,"['Restaurant', 'Korean barbecue restaurant']"
14,0x80c8c0af9e885d4b:0xc7784d934d4b9bf4,Old School Brewing Company,"['Brewery', 'American restaurant', 'Brewpub', 'Pizza restaurant', 'Restaurant']"
15,0x80c8c59c88574d8d:0x30cb16c4ba8464ef,Brookwood Farms BBQ,['Restaurant']
16,0x80c8eafdfaab85ef:0x8b9ea47178d8a897,Panda Express,"['Chinese restaurant', 'Asian restaurant', 'Takeout Restaurant', 'Restaurant']"
17,0x8099a00ce94a34ff:0x818e0675b1574fa3,Shell,"['Gas station', 'ATM', 'Car wash', 'Convenience store', 'Restaurant']"
18,0x8099375b277d08e5:0xfcb0f17dd872cb4f,Buckhorns,['Bar']
19,0x80c8951a45d8f809:0x9e3f2340a21a0b9f,Tavern at the Falls,['Restaurant']
20,0x80c8d09421774bdb:0x79bf3e9b87fea9a9,Rum Runner Boulder,"['Bar', 'Cocktail bar']"
21,0x80c8c43e67f8b7bd:0x1e445f2b5dbe81a8,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
22,0x80c8c5f14ca7af65:0xbf0c36c508a9d98c,Panda Express,"['Chinese restaurant', 'Asian restaurant', 'Restaurant']"
23,0x80c8c0dc77edcf45:0x8d20921ec2e5403f,Magoo's Hideaway,['Bar']
24,0x80c8c878ceb377fb:0x6390e7001251f38b,Doh Korean BBQ,"['Korean barbecue restaurant', 'Restaurant']"
25,0x80c8c43c95685903:0x69c962679d2d6afa,Border Grill Forum Shops,"['Mexican restaurant', 'Bar', 'Latin American restaurant', 'Takeout Restaurant', 'Restaurant', 'Seafood restaurant']"
26,0x809940bdf5e60b37:0xc6e4459ef757a05e,Lulou's,"['New American restaurant', 'American restaurant', 'Restaurant', 'Spanish restaurant']"
27,0x80994697ac023deb:0xd8f1fa34d2deacd8,Starbucks,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']"
28,0x8099099632c1d037:0x2ad9487a7e6288be,BunnyRanch Legal Nevada Brothel,"['Adult entertainment club', 'Bar']"
29,0x80993edbefca021b:0x7d5a00b03aa13702,Atomic Bootlegger Lounge,['Bar']
30,0x80c8c521eb0579e1:0xe5a2a7ca8cc3c350,Pollos Culiacan #2,['Restaurant']
31,0x80b1ad2fa303f1a1:0xbf7318f9d7d3440c,Nardis home style restaurant,['Restaurant']
32,0x80c8bf71967640fd:0x485955e1daadf295,Tropical Smoothie Cafe - Temp,"['Juice shop', 'Restaurant']"
33,0x80999e523cd6336f:0x70d0118cfa3c6c64,Clear Creek Tahoe Golf,['Restaurant']
34,0x80c8c5b2a70f3997:0xaa6e313f23d50f8,Lefty-J's Island Favorites,['Restaurant']
35,0x80c8eabc18212399:0xfccedf3be2e1052c,Putter's Bar & Grill - Cheyenne,"['Bar', 'Bar & grill']"
36,0x80c8c43144edcfa5:0xca80a451c1697fca,Popeyes Louisiana Kitchen,"['Chicken restaurant', 'Cajun restaurant', 'Fast food restaurant', 'Restaurant', 'Seafood restaurant']"
37,0x80c8cff76a2d0be3:0xb36ef1746b94756,Starbucks,"['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']"
38,0x80c8c035f99a5cd5:0x320de202dcf2bb15,Mangos Beach Bar,['Bar']
39,0x80c8ea57de120443:0xcab20f2086b87ce4,Draft House,"['Bar', 'Brewery', 'Brewpub']"
40,0x80c8c70a3de520d7:0x7a4580a03b2b1afa,702 Karaoke & Bistro,['Restaurant']
41,0x80c8c4372a36090b:0xc3c12732f6df468,Jamba Miracle Mile,"['Juice shop', 'Restaurant']"
42,0x809940793b7d2add:0xc7229d597b7bd739,Café Alfresco,"['Italian restaurant', 'Cafe']"
43,0x80c8c37a0595cf91:0xf8dc9ffe7c8782a1,The JOLT Coffee Co.,"['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee roasters', 'Pastry shop', 'Sandwich shop', 'Vegan restaurant']"
44,0x80c8eb5c4ed7991f:0x98ede6708227fce5,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
45,0x80c8c0003624f499:0xf94d938ed77cf753,OMG Boba Tea,['Cafe']
46,0x80c8c88527c2e99d:0xa9b2faad2b04ec82,Dotty's,['Bar']
47,0x80c8c4fc576ab6e1:0x972804d026f758a9,Vegas Buffet,"['Buffet restaurant', 'Restaurant']"
48,0x80c8c43da756b793:0x49ea72eb7a59b922,1OAK Nightclub Las Vegas,"['Night club', 'Bar', 'Dance club']"
49,0x80993eaccdd3ac25:0x9e5d4593089b69f4,Subway,"['Sandwich shop', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
50,0x80c8c320910cf497:0xe600c6033e3731c9,La Hacienda Nightclub,"['Night club', 'Bar', 'Karaoke', 'Lounge', 'Sports bar']"
51,0x80ca2b446563133f:0xfb8646f4bb005e8,Shell,"['Gas station', 'ATM', 'Convenience store', 'Restaurant']"
52,0x80997046713fc1e3:0x9cfc9e85e77dc942,The Paddle Wheel Saloon,"['Cocktail bar', 'Bar', 'Bar tabac', 'Lounge', 'Pub', 'Sports bar']"
53,0x80a6caf54046adbf:0xc0cab1f94b4ae563,Shell,"['Gas station', 'ATM', 'Convenience store', 'Restaurant']"
54,0x80c8c096755cad95:0x852f4a44a7414d5d,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
55,0x809940cca62b1653:0x5292c8cfc3e1109c,Hookava,"['Hookah bar', 'Bar']"
56,0x80c8c13ef93b6d2f:0x22d918e5fa0aeec7,Fu Man Dumpling House,['Restaurant']
57,0x80990b2d94ec726b:0x4291694487f69467,Sage Cafe,"['American restaurant', 'Cafe', 'Cafeteria']"
58,0x80c8eb1435f00a47:0x8534717ddaa4d2e9,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
59,0x80993eaced9b7fa3:0xd5a736f9a20c3734,Starbucks,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']"
60,0x80cf4581f6d7c315:0x321bcd28266fc6ab,Starbucks,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']"
61,0x80c8c6e54c21d727:0x31e85abe26838546,Jackpot Joanie's Gaming & Spirits 24hrs,['Bar']
62,0x80c8c41745500bfd:0xa7655d37a49f8447,Sonny's Saloon & Casino,"['Casino', 'Bar']"
63,0x80c8eb4f4a2289d3:0xc7f2795e2cc9ce78,Cups and Bowls,"['Japanese curry restaurant', 'Restaurant', 'Tea house']"
64,0x80c8c44d85995b19:0x436833ccce133ec6,One Steakhouse,"['Steak house', 'Fine dining restaurant', 'Restaurant']"
65,0x8098eb8e0b79edc5:0xe24199257efeabcd,Red's Bar & Grill,"['Restaurant', 'Barbecue restaurant', 'Pizza restaurant']"
66,0x80c8eae4ecc825f9:0x7c2e4ce938bf36b1,Curry Hut,"['Japanese restaurant', 'Restaurant']"
67,0x80c8c7febc91d075:0x36ff8291ae4a5a96,Bomas Bar & Grill,['Bar']
68,0x80c8b8b8fb639beb:0x8baffa0e661d0036,Rustica Pizzeria,"['Restaurant', 'Delivery Restaurant', 'Pizza restaurant']"
69,0x80c8bf17023b1f95:0x375989777d255b85,Pho4Real,['Restaurant']
70,0x80c6379a5659e7cf:0x456a78f90848285b,Noodles & Crepe,['Restaurant']
71,0x80c8b8851862fec9:0xea09fb27e37a26a3,Kitchen Table Squared,"['Latin American restaurant', 'European restaurant', 'New American restaurant', 'Restaurant']"
72,0x80bc06d012705787:0xaaf765ef9bb08de4,Bug Bar,['Bar']
73,0x80c8d003540445e1:0x674eb34dd8a3242d,Capriotti's Sandwich Shop - Temporarily Closed,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Restaurant']"
74,0x809921e9a48e6249:0x89d199d5f1ba9c66,Recharge Bar & Grill,"['Bar & grill', 'Hotel', 'Restaurant']"
75,0x809941a60cd0fe07:0x2c2f56f2226b97cf,The Arch Society,"['Bar', 'Cocktail bar', 'Dessert restaurant', 'Dessert shop']"
76,0x80993919ea53ee57:0x21a81020968c428a,Smashin' Good Time,"['Recreation center', 'Bar', 'Theme park']"
77,0x80c8c3a694c46b5f:0x36a729dbd8ea155e,Pizza 108,"['Restaurant', 'Ice cream shop', 'Neapolitan restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Vegan restaurant', 'Vegetarian restaurant']"
78,0x80c8c58355b615f1:0x90ec47811cfc22ad,Auntie Anne's,"['Pretzel store', 'Bakery', 'Cafe', 'Restaurant']"
79,0x80994097b1cfa447:0x2f523f0533caf252,The Restaurant @ Plaza Maya,"['Mexican restaurant', 'Bar']"
80,0x80c8c18b1a42f6f3:0x443802880894a603,Martini Bar,['Bar']
81,0x80c8b8651c9dff87:0x1029e6a72e99988d,Chun Fai Chinese Eatery,"['Chinese restaurant', 'Restaurant']"
82,0x80c8c6d275486003:0xcd257501e33446de,Icy Juicy,"['Bubble tea store', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Taiwanese restaurant']"
83,0x80c8c95a358dfe03:0xe86a27a69df0e585,Sharetea,['Cafe']
84,0x80c8cef1d1cfdb39:0xf88fb163faf3e694,Teppan Bento,"['Authentic Japanese restaurant', 'Indonesian restaurant', 'Japanese regional restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Restaurant', 'Seafood restaurant', 'Steak house', 'Sushi restaurant', 'Teppanyaki restaurant']"
85,0x80c707f78642ee11:0x30a2478ed0227471,Stateline Saloon,"['Bar', 'Cafe', 'Internet cafe']"
86,0x80c8ce7115a64957:0x9e428cf7e9d89f9f,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
87,0x8099151701717ad9:0xd781549d04eea96f,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
88,0x80c8c41441204a9d:0xa267cd3041a9372f,Kung Fu Tea,"['Bubble tea store', 'Beverage distributor', 'Cafe', 'Fast food restaurant']"
89,0x80c8c3a03b613215:0x1b9706dfbfc1ae0f,Lanai Express at Fremont Casino,"['Asian restaurant', 'American restaurant', 'Chinese restaurant', 'Restaurant']"
90,0x80a5df6683617bf5:0x74ca85bfd2a3a9be,Chin's Cafe,['Cafe']
91,0x80c8c16c2c29411d:0x45afa860bf2c98b6,Naughty Ladies Saloon,['Bar']
92,0x80c8c173d94cc02b:0x1df98ccaef89b087,Dotty's Gaming & Spirits,['Bar']
93,0x80c8c53e0aac2a1d:0x3368c0f60f2207ba,Office 6 Lounge & Bar,"['Bar & grill', 'Bar']"
94,0x80c8c50c9faa5613:0x90a36b550d997db0,Primal Steakhouse,"['Steak house', 'Bar', 'Dessert restaurant', 'Restaurant', 'Seafood restaurant']"
95,0x80c8c73aab2aebe9:0x203dff3d3a21c73d,Bbear Cafe,['Cafe']
96,0x80ce43ab495e335f:0xc8ee44cd07b54343,Cafe Aquarius,['Restaurant']
97,0x80ce43f5048e0681:0x9e87eaea0de8a3c5,Gnats Landing,"['Sports bar', 'Bar', 'Cocktail bar']"
98,0x80ce4566c2313ed7:0xed3e374a2e8a36e2,Piccadilly Circus Pizza,['Restaurant']
99,0x80c8c657396b3b95:0x4a395babba2e3ba8,Adventure Indoor Playground,"['Indoor playground', 'Mexican restaurant', 'Restaurant']"
100,0x80c8be550e97aa9f:0xd2191bf738058630,Nekter Juice Bar,"['Juice shop', 'Breakfast restaurant', 'Cafe', 'Health food restaurant', 'Restaurant']"
101,0x80c8c4681eb04a47:0xf730a033297aa767,Envy The Steakhouse,"['Steak house', 'American restaurant', 'Brunch restaurant', 'Event venue', 'Fine dining restaurant', 'Jazz club', 'Restaurant']"
102,0x80c8c69929a4e157:0x3c5f0e0695a4ada7,Alizé,"['French restaurant', 'Bar']"
103,0x80c8c7f42009fda3:0xd87d8773e575c92c,Benjarong Authentic Thai Cuisine,"['Pan-Asian restaurant', 'Fine dining restaurant', 'Food service', 'Restaurant', 'Thai restaurant']"
104,0x80c8c431e35b9f01:0x219dc50ad50780eb,barMASA,"['Japanese restaurant', 'Bar', 'Sushi restaurant']"
105,0x809887c0b429e62b:0xdfdd64dbbf2bc9ba,Annalee's Cafe,['Cafe']
106,0x80c8c7f408be456b:0x867894554086b045,Dotty's Gaming & spirits,['Bar']
107,0x80c8b8b95ad68221:0xa0da5ecb552541e0,Dotty's Gaming & Spirits,['Bar']
108,0x80c893cc3fe420b1:0x15c1ed7f66013016,Tropical Smoothie Cafe,"['Restaurant', 'Juice shop']"
109,0x80c8c4f4f19689d9:0x8184f814418327a8,Granny's Kitchen,['Restaurant']
110,0x80c8eb9e503be86f:0xda0e789d577ba28b,My Garage Restaurant,['Restaurant']
111,0x80c8c39aa1e322f9:0xd9a56cf6b89ab1bd,The Vegas Tasting Room,"['Cannabis store', 'Bar']"
112,0x80c8c6ce5f955555:0xc3508002b17562e2,Chatime - Las Vegas,"['Tea house', 'Cafe', 'Coffee shop']"
113,0x80c8c6d2067da0df:0x5412cadc23ba0136,Cue D's Billiard Venue,"['Pool billard club', 'Bar']"
114,0x80c8cff7372754c7:0x424f931d91128bf,Timbers Bar & Grill,"['American restaurant', 'Bar', 'Bar & grill']"
115,0x80a0fccc1c1be831:0x1f92919b9f9af35b,Wonderful House,"['Chinese restaurant', 'Restaurant']"
116,0x80a0e38ad9642f4f:0x1220978cea26ac1c,Sonoma Grill,['Restaurant']
117,0x80a0fcde48a56ee5:0x49ba4750e59d4272,Club 40,['Bar']
118,0x80a0e34a93030665:0xe336cc6357679a2b,Bar M Saloon,['Bar']
119,0x80c8d0f1b92db3c1:0x7e95f2e5794712d,Panda Express,"['Chinese restaurant', 'Asian restaurant', 'Restaurant']"
120,0x80a0e34a9255f247:0xf3cb80f135a9698d,Butch Cassidys Hole In the Wall,"['Bar', 'Beauty salon']"
121,0x80a0fcd32c16a2b9:0x891a0de78c15a61d,Player's Bar,['Bar']
122,0x80c8eb15690ad39f:0xba9fdd37567d536b,Muscle Maker Grill,"['Health food restaurant', 'American restaurant', 'Restaurant']"
123,0x80c8c69405655553:0xe9ab3904f60819b1,Jackpot Bar And Grill,['Bar']
124,0x80a6a50421e28159:0xe92c75b1795d67bb,HideAway Restaurant & Bar,"['American restaurant', 'Bar', 'Bar & grill', 'Caterer']"
125,0x80c8c7146019bdc7:0x334eae2bd461006c,Red Dragon Spirit's & Drink's,['Bar']
126,0x80c8c697b5fab3d7:0x6b1d18db163abfde,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
127,0x8099406ad5c9092d:0x6a2e4483e4b93f3b,Simon's Cafe & Lounge,"['Cafe', 'Bar', 'Lounge', 'Restaurant']"
128,0x80c8be557aa61ef1:0xbaa4c4810cd2cd1a,Matador,"['Mexican restaurant', 'Bar', 'Restaurant']"
129,0x80990ae95325c99b:0x544d6e3c00993558,Z Bistro,"['French restaurant', 'Restaurant']"
130,0x80c8c724cc270a73:0xccb37cc1c87a0670,Chicken Land HOHO,['Restaurant']
131,0x80c8c5239e0109bf:0xbe0a0a1b9299b16f,Louisiana Famous Fried Chicken LV,['Restaurant']
132,0x80c8edb687c11cfb:0xa17ecfe4989d316a,Cugino's Pizza,"['Restaurant', 'Pizza restaurant']"
133,0x80c8dac2b38fe33b:0x5fea392bbcff1d9b,Chubby's Pub,['Bar']
134,0x80c8c0fb2e7a7581:0xec0693c3fc75ae28,The Tavern,"['Bar', 'Bar & grill']"
135,0x80c8c7ad3c2e979b:0xe45ff20d37e4089e,China One,"['Restaurant', 'Chinese restaurant']"
136,0x80c8c015ff462f97:0xeff737e624edf1ff,Starbucks,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']"
137,0x80a0fd59a5df16ff:0x7f6a389b88226804,Brew 95,"['Coffee shop', 'Cafe']"
138,0x8099a165aac485e3:0xf441e7faed01bf34,Roberto's Taco Shop,['Restaurant']
139,0x80c8c6cec3075293:0x4cac22ae15e0d8ee,Chengdu Lao Zao Hotpot,"['Sichuan restaurant', 'Restaurant']"
140,0x80c8b8b048473557:0x1a01458937b7cb92,Capriotti's Sandwich Shop,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Restaurant']"
141,0x80c8eb444bd8f62d:0x1b611ac94edafd21,Dotty's,"['Casino', 'Bar']"
142,0x80c8b8c675cdeae7:0x78ef17be7bfb1a34,Subway,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
143,0x80990abdbd93467d:0xd45b8182759829b2,Living the Good Life,"['American restaurant', 'Bar']"
144,0x8099bd8390be69fd:0x9599aa07e45d78e2,Pizza Factory,"['Pizza restaurant', 'Family restaurant', 'Italian restaurant', 'Restaurant']"
145,0x809906425d2c968b:0xa2f9bef6e5e4eeea,Dayton Inn,"['Inn', 'Association or organization', 'Restaurant']"
