,business_id,name,categories
0,0x89c258ffaeaba947:0x8355860772a595a9,Raffaello Kosher Pizza,['Restaurant']
1,0x89c259063d62f499:0x5b5cab85882fd605,Caliente Cab Co,"['Restaurant', 'Mexican restaurant']"
2,0x89c289efdb82221b:0xed627c2af97c2069,李小龍台吃,['Restaurant']
3,0x89d373c8b21aef8b:0x598a1da29c705118,Cantina 62 Mexican Express,['Restaurant']
4,0x89c25be3a039c8a1:0x4d6e40977ecbd2d,Hemo’s Spot - Juice Bar & Cafe,"['Cafe', 'Juice shop', 'Restaurant']"
5,0x89e82969f587e98d:0x4d48536e9eeeb614,A Latte Fun,"['Indoor playground', 'Cafe']"
6,0x89d1eed727a94185:0x1dfbc8b863980115,Rexville Country Store,"['General store', 'Grocery store', 'Lottery retailer', 'Propane supplier', 'Restaurant']"
7,0x89c2e9cf8e139235:0x24bfb20e9e09f260,McDonald's,"['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Ice cream shop', 'Restaurant', 'Salad shop', 'Sandwich shop']"
8,0x89dcc78de548836f:0xb12d6b7e74a1e8c5,Forage and Gather Market,"['Grocery store', 'Breakfast restaurant', 'Cafe', 'Catering food and drink supplier', 'Cheese shop', 'Lunch restaurant', 'Market', 'Organic shop', 'Sandwich shop']"
9,0x89c2e7f1c5ffad57:0x188085b588f042e3,Subway,"['Sandwich shop', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
10,0x89d9f3b9bccdd693:0xf899f2c90f622449,World Lounge & Martini Bar,"['Lounge', 'Bar']"
11,0x89d0ac371ae2c611:0xc94fb429f7a934e4,Snapper's Sports Tavern,['Bar']
12,0x89daeebc3aa5c9f9:0x351fcdc697f3dded,Wok 'n Roll,"['Chinese restaurant', 'Delivery Restaurant', 'Restaurant']"
13,0x89c261ea0a628bdf:0xf4f6d988c912587d,沈阳烧烤（Shen Yang Shao Kao BBQ）,"['Restaurant', 'Barbecue restaurant', 'Chinese restaurant']"
14,0x89c261ad81cd9fef:0x9d5b0b0835e5bfc1,湘当有料Young and Rich,"['Restaurant', 'Hunan restaurant']"
15,0x89c259843cac85bb:0x1adda0f155f3145d,Academy at Coffee Project NY,"['Coffee roasters', 'Breakfast restaurant', 'Cafe', 'Coffee shop', 'Educational institution', 'Wholesaler']"
16,0x89da5f280ee833b1:0xbf74609b884fe402,Lisle Inn,['Bar']
