,business_id,name,categories
0,0x8644b59b8fe872e5:0x5e638876caa84cc3,Golden Castle,['Restaurant']
1,0x864c2161e9d8649b:0x22061733a9698bcb,Bushibushi Dimsum Place,"['Restaurant', 'Chinese restaurant']"
2,0x8668f51b3fec89f9:0x6318bc7f06ffdd86,Smokey Rooster bar and grill,['Restaurant']
3,0x864e6571cdc9dbab:0xc1daa9eb0bf426ed,287 Nutrition,['Restaurant']
4,0x866f620720c802ad:0x27a1200679cf03fd,The Crazy Menu,"['Deli', 'Cafe', 'Juice shop', 'Salad shop', 'Sandwich shop', 'Soup kitchen']"
5,0x86659b5e07a95013:0x8cfb46c001f1460c,Taqueria Jalisco,['Restaurant']
6,0x8640e8127c4a6543:0xba6c7351b499686b,Subway Restaurant,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Restaurant']"
7,0x86f923474210a861:0xdf21b44a1782fef5,Fruit Paradise Big Spring,['Cafe']
8,0x865cf33bd673375f:0xfa8b2ef86f4b2ac2,Southern Girls Food & Music For Your Soul,['Restaurant']
9,0x86395185259a0eab:0xd29389b986206ef5,Mauriceville Fuel Stop - C3 Oil Company,"['Gas station', 'Grill', 'ATM', 'Beer store', 'Cafe', 'Convenience store']"
10,0x8640bf47ce0af871:0xbf9af8f0c2a8f35c,Vino Lounge,"['Wine bar', 'Bar', 'Hookah bar']"
11,0x864c264d6967b3dd:0xe0d905846ed5958d,Michael's Grill,"['Family restaurant', 'Breakfast restaurant', 'Caterer', 'Mexican restaurant', 'Restaurant']"
12,0x86511b23bcc2674d:0xc2358485ed1db06c,Spirit Bbq,['Restaurant']
13,0x86412126b238d651:0x238335430770daad,D'Amico's Italian Market Café,"['Italian restaurant', 'Restaurant']"
14,0x8640bfa9613de5f1:0xf720305f9ba54d81,chill works,"['Frozen yogurt shop', 'Dessert shop', 'Frozen dessert supplier', 'Ice cream shop', 'Restaurant']"
15,0x864c3d23e7c39f81:0x3f81400aa799c205,Twist Of South,"['Restaurant', 'Indian restaurant']"
16,0x863f5e75125b7631:0x9a29f32716ee887,Sunbrite Bar,['Bar']
17,0x865be3b9d1286b01:0xcbbcdc5f922ae198,Trailhead Beer Garden,"['Bar', 'Beer garden', 'Live music venue']"
18,0x864e0dd428bbf195:0x5309a0177ae2caef,Daisy N Dukes,['Bar']
19,0x8640e6bd6e861357:0xb96bb36e5cd02ee3,glazed,['Restaurant']
20,0x864c3c07ec688ee9:0x8cc2aeae4160979,The Roots Bar,"['Bar', 'Pub']"
21,0x864e9ed386b07055:0x881e866f6966760a,"LYFE Kitchen, West Village","['Restaurant', 'Fast food restaurant', 'New American restaurant', 'Organic restaurant']"
22,0x8647c36b081d551d:0xb6304de7a7e2b6eb,Taqueria Estrella,['Restaurant']
23,0x8641b978c7cca551:0x471ff22b0ecabeda,It's Just Wings,"['Chicken wings restaurant', 'Chicken restaurant', 'Restaurant']"
24,0x864e9975c6709d95:0x3581ae2c642fa857,Charlie's Star Lounge,['Bar']
25,0x864e99256b355885:0xdd6ed5b23ce4517,N'awlins Seafood Sports Bar,['Restaurant']
26,0x864e9922545d18a7:0x5fe9752e6ed2eb13,45 Oaks Cafe and Catering,['Restaurant']
27,0x864e8714be836b55:0x319f4fb8f384b624,Cacharel,"['French restaurant', 'Bar', 'Restaurant', 'Seafood restaurant', 'Steak house']"
28,0x8640dd873932f3cb:0x1d55512b687664e,Tacos Adrian's Puerto Vallarta,['Restaurant']
